Tool,Operation,Trial,Time(s),User Time(s),System Time(s),Max Memory(KB)
cp,Copy,1,0:00.79,0.00,0.75,2808
cp,Copy,2,0:00.76,0.00,0.73,2736
cp,Copy,3,0:00.76,0.00,0.71,2712
cp,Copy,4,0:01.05,0.00,0.72,2712
cp,Copy,5,0:00.75,0.01,0.70,2804
cp,Copy,6,0:00.78,0.01,0.73,2612
cp,Copy,7,0:00.77,0.00,0.74,2792
cp,Copy,8,0:00.79,0.00,0.76,2732
cp,Copy,9,0:00.76,0.00,0.72,2844
cp,Copy,10,0:00.84,0.00,0.80,2588
